Image X[Pixel],Image Y[Pixel],X[mm],Y[mm],Z[mm],Horizontal Displacement U[mm],Vertical Displacement V[mm],Out-Of-Plane: W[mm],Horizontal: u[Pixel],Vertical: v[Pixel],Horizontal: q[Pixel],Vertical: r[Pixel],Correlation Value 2D,Correlation Value Persp,Sigma,Epipolar Distance,Strain-global frame: Exx,Strain-global frame: Eyy,Strain-global frame: Exy,Maximum Principal Strain: EI,Minimum Principal Strain: EII,Shear Angle Gamma,Von Mises Equivalent Strain,
2310,2681,0.965754929800038,0.653491656008953,-0.0240733727796965,-0.000744,0.002360,-0.005692,-0.013822,0.109253,319.483204,24.535711,0.999719,0.992861,0.003498,0.306561,-0.000018,-0.000012,0.000000,-0.000012,-0.000018,-87.727058,0.000030,
2340,2741,1.60710594674974,1.96258776558263,-0.0280015334225254,-0.000594,0.002536,-0.005768,-0.006207,0.107593,318.445324,24.709413,0.999549,0.991883,0.003614,0.269154,-0.000026,-0.000020,0.000011,-0.000012,-0.000034,51.958898,0.000048,
2115,2231,-3.19906210287703,-9.1769742163792,-0.00175328875718606,-0.000182,0.002864,-0.008470,0.017521,0.103279,327.648282,24.583529,0.998791,0.983749,0.005151,0.168731,-0.000036,-0.000011,0.000007,-0.000009,-0.000038,75.352498,0.000050,
2400,2861,2.88938078569264,4.57803535032277,-0.0269980525666824,-0.000798,0.002201,-0.008098,-0.006395,0.090735,316.476108,25.118381,0.999571,0.992011,0.003524,0.222490,-0.000034,-0.000037,-0.000015,-0.000020,-0.000051,-42.590901,0.000073,
2055,2126,-4.48969738103142,-11.4760492878991,0.00301600323484763,-0.000354,0.002427,-0.007114,0.004427,0.078906,329.699380,24.901287,0.998995,0.985037,0.005109,0.126851,-0.000047,-0.000034,0.000014,-0.000025,-0.000056,58.379034,0.000083,
2415,2891,3.21017602911353,5.23139222200241,-0.021694745030004,-0.000636,0.002282,-0.005642,-0.007624,0.094523,316.034827,25.249556,0.999457,0.991954,0.003622,0.211369,-0.000037,-0.000032,-0.000016,-0.000018,-0.000051,-48.773329,0.000071,
2505,3086,5.13004588699446,9.4750169464736,0.00150604817133626,-0.000773,0.002189,-0.004850,-0.015769,0.094922,313.146851,26.177748,0.999733,0.993783,0.003240,0.224244,-0.000047,0.000005,0.000000,0.000005,-0.000047,89.689213,0.000051,
2490,3041,4.81239496319511,8.4972187457521,-0.0102061994170413,-0.000546,0.002004,-0.005524,-0.003036,0.082122,313.772995,25.989511,0.999740,0.994100,0.003316,0.171270,-0.000042,-0.000007,-0.000010,-0.000004,-0.000045,-75.221653,0.000054,
2370,2801,2.24876469267577,3.26983995775603,-0.0197875292308254,-0.000500,0.002158,-0.001816,-0.015611,0.107960,317.508255,24.885467,0.999831,0.995442,0.003160,0.265425,-0.000028,-0.000036,-0.000007,-0.000024,-0.000040,-29.554842,0.000064,
2100,2171,-3.51608952604166,-10.4918104864084,0.0108851659603033,-0.000568,0.002793,-0.004777,-0.011285,0.114221,328.779676,24.630506,0.999067,0.984843,0.004942,0.187894,-0.000036,-0.000005,0.000012,0.000000,-0.000040,70.754503,0.000047,
2475,3011,4.49266847295835,7.84398314026114,-0.00768541486047525,-0.000597,0.002577,-0.008486,0.005927,0.101449,314.267716,25.818063,0.999674,0.992207,0.003385,0.202085,-0.000037,-0.000010,-0.000013,-0.000005,-0.000042,-67.720983,0.000052,
2265,2591,0.00306974848805197,-1.30925166847007,-0.027330385842447,-0.000444,0.002486,-0.005712,-0.000554,0.116426,321.016834,24.422310,0.999133,0.989630,0.004299,0.285017,-0.000029,-0.000030,-0.000004,-0.000025,-0.000034,-38.627998,0.000059,
